Year,Quarter,Month,Day,Total Sales
2016,Qtr 2,May,21,26.976
2016,Qtr 2,May,22,3862.098
2016,Qtr 2,May,23,140.986
2016,Qtr 2,May,25,860.458
2016,Qtr 2,May,26,20.24
2016,Qtr 2,May,28,6.63
2016,Qtr 2,May,29,740.73
2016,Qtr 2,May,31,1990.49
2016,Qtr 2,June,1,11.76
2016,Qtr 2,June,4,1126.59
2016,Qtr 2,June,7,7.52
2016,Qtr 2,June,9,495.736
2016,Qtr 2,June,13,36.624
2016,Qtr 2,June,15,722.472
2016,Qtr 2,June,18,152.984
2016,Qtr 2,June,19,205.73
2016,Qtr 2,June,20,509.56
2016,Qtr 2,June,22,4.96
2016,Qtr 2,June,23,568.558
2016,Qtr 2,June,25,618.792
2016,Qtr 2,June,28,627.664
2016,Qtr 3,July,4,22.848
2016,Qtr 3,July,6,170.352
2016,Qtr 3,July,10,43.286
2016,Qtr 3,July,11,128.322
2016,Qtr 3,July,14,860.916
2016,Qtr 3,July,16,2048.856
2016,Qtr 3,July,17,195.466
2016,Qtr 3,July,18,519.96
2016,Qtr 3,July,19,2.025
2016,Qtr 3,July,25,1912.808
2016,Qtr 3,July,26,958.857
2016,Qtr 3,July,30,226.13
2016,Qtr 3,August,1,1011.696
2016,Qtr 3,August,2,842.268
2016,Qtr 3,August,7,22.456
2016,Qtr 3,August,8,158.672
2016,Qtr 3,August,10,711.784
2016,Qtr 3,August,13,82.36
2016,Qtr 3,August,15,497.59
2016,Qtr 3,August,16,2200.328
2016,Qtr 3,August,17,329.44
2016,Qtr 3,August,21,1299.526
2016,Qtr 3,August,24,7.152
2016,Qtr 3,August,25,146.744
2016,Qtr 3,August,27,639.974
2016,Qtr 3,August,28,2017.532
2016,Qtr 3,August,31,2580.837
2016,Qtr 3,September,1,979.104
2016,Qtr 3,September,3,552.878
2016,Qtr 3,September,4,9.762
2016,Qtr 3,September,5,733.283
2016,Qtr 3,September,6,244.236
2016,Qtr 3,September,7,671.93
2016,Qtr 3,September,8,68.28
2016,Qtr 3,September,10,512.08
2016,Qtr 3,September,11,480.49
2016,Qtr 3,September,12,21.98
2016,Qtr 3,September,14,1082.886
2016,Qtr 3,September,17,57.432
2016,Qtr 3,September,18,703.38
2016,Qtr 3,September,19,92.2
2016,Qtr 3,September,20,45.584
2016,Qtr 3,September,21,809.176
2016,Qtr 3,September,22,266.04
2016,Qtr 3,September,24,1313.302
2016,Qtr 3,September,25,1541.826
2016,Qtr 3,September,26,1645.369
2016,Qtr 3,September,27,274.49
2016,Qtr 3,September,28,456.864
2016,Qtr 4,October,1,712.224
2016,Qtr 4,October,2,972.196
2016,Qtr 4,October,3,120.666
2016,Qtr 4,October,4,26.96
2016,Qtr 4,October,5,357.462
2016,Qtr 4,October,8,145.9
2016,Qtr 4,October,10,45.36
2016,Qtr 4,October,12,99.86
2016,Qtr 4,October,17,77.88
2016,Qtr 4,October,18,277.634
2016,Qtr 4,October,19,1910.7
2016,Qtr 4,October,20,695.526
2016,Qtr 4,October,23,1450.376
2016,Qtr 4,October,24,454.272
2016,Qtr 4,October,25,975.322
2016,Qtr 4,October,26,1395.333
2016,Qtr 4,October,29,244.24
2016,Qtr 4,October,30,603.434
2016,Qtr 4,October,31,3058.149
2016,Qtr 4,November,1,7.88
2016,Qtr 4,November,2,2225.669
2016,Qtr 4,November,3,1345.418
2016,Qtr 4,November,5,161.152
2016,Qtr 4,November,6,11.481
2016,Qtr 4,November,7,190.72
2016,Qtr 4,November,8,753.22
2016,Qtr 4,November,9,2.48
2016,Qtr 4,November,10,79.9
2016,Qtr 4,November,12,15.7
2016,Qtr 4,November,13,782.078
2016,Qtr 4,November,14,1374.056
2016,Qtr 4,November,16,1020.096
2016,Qtr 4,November,17,1873.606
2016,Qtr 4,November,19,173.04
2016,Qtr 4,November,20,1175.844
2016,Qtr 4,November,21,573.504
2016,Qtr 4,November,22,114.37
2016,Qtr 4,November,24,1218.764
2016,Qtr 4,November,27,505.71
2016,Qtr 4,November,28,53.56
2016,Qtr 4,November,29,60.604
2016,Qtr 4,November,30,106.88
2016,Qtr 4,December,1,6956.646
2016,Qtr 4,December,3,359.499
2016,Qtr 4,December,4,460.172
2016,Qtr 4,December,5,96.06
2016,Qtr 4,December,6,2493.806
2016,Qtr 4,December,7,99.45
2016,Qtr 4,December,8,473.656
2016,Qtr 4,December,10,62.06
2016,Qtr 4,December,11,840.566
2016,Qtr 4,December,12,1418.266
2016,Qtr 4,December,13,966.066
2016,Qtr 4,December,14,422.524
2016,Qtr 4,December,15,1055.142
2016,Qtr 4,December,16,4.98
2016,Qtr 4,December,17,450.194
2016,Qtr 4,December,18,6.848
2016,Qtr 4,December,19,1941.81
2016,Qtr 4,December,20,39.408
2016,Qtr 4,December,21,1778.954
2016,Qtr 4,December,24,1779.722
2016,Qtr 4,December,25,1240.46
2016,Qtr 4,December,27,1127.7
2016,Qtr 4,December,30,3251.34
2016,Qtr 4,December,31,487.984
2017,Qtr 1,January,3,114.46
2017,Qtr 1,January,7,34.58
2017,Qtr 1,January,9,727.878
2017,Qtr 1,January,10,174.75
2017,Qtr 1,January,16,102.218
2017,Qtr 1,January,21,1167.056
2017,Qtr 1,January,22,187.91
2017,Qtr 1,January,23,59.99
2017,Qtr 1,January,28,39.68
2017,Qtr 1,January,30,883.008
2017,Qtr 1,January,31,166.292
2017,Qtr 1,February,1,105.52
2017,Qtr 1,February,4,107.388
2017,Qtr 1,February,5,918.966
2017,Qtr 1,February,7,623.96
2017,Qtr 1,February,9,121.83
2017,Qtr 1,February,13,146.82
2017,Qtr 1,February,19,70.88
2017,Qtr 1,February,21,511.948
2017,Qtr 1,February,22,492.85
2017,Qtr 1,March,1,159.984
2017,Qtr 1,March,3,60.63
2017,Qtr 1,March,4,16.99
2017,Qtr 1,March,8,9.702
2017,Qtr 1,March,10,7662.958
2017,Qtr 1,March,12,1652.342
2017,Qtr 1,March,13,5353.158
2017,Qtr 1,March,14,238.688
2017,Qtr 1,March,15,1356.576
2017,Qtr 1,March,17,84.784
2017,Qtr 1,March,19,72.294
2017,Qtr 1,March,20,132.709
2017,Qtr 1,March,22,226.468
2017,Qtr 1,March,24,403.168
2017,Qtr 1,March,26,34.68
2017,Qtr 1,March,28,93.9
2017,Qtr 2,April,1,61.704
2017,Qtr 2,April,7,1199.976
2017,Qtr 2,April,8,122.66
2017,Qtr 2,April,9,592.017
2017,Qtr 2,April,10,928.122
2017,Qtr 2,April,12,901.912
2017,Qtr 2,April,13,6.12
2017,Qtr 2,April,14,1360.312
2017,Qtr 2,April,15,1265.268
2017,Qtr 2,April,16,28.8
2017,Qtr 2,April,17,257.499
2017,Qtr 2,April,19,156.516
2017,Qtr 2,April,21,8.32
2017,Qtr 2,April,22,1619.883
2017,Qtr 2,April,23,441.568
2017,Qtr 2,April,24,1348.404
2017,Qtr 2,April,28,71.04
2017,Qtr 2,April,30,111.888
2017,Qtr 2,May,5,2320.34
2017,Qtr 2,May,6,41.6
2017,Qtr 2,May,8,17.94
2017,Qtr 2,May,9,126.02
2017,Qtr 2,May,10,11.96
2017,Qtr 2,May,11,5.98
2017,Qtr 2,May,12,183.57
2017,Qtr 2,May,14,185.528
2017,Qtr 2,May,16,327.9
2017,Qtr 2,May,18,122.22
2017,Qtr 2,May,19,97.424
2017,Qtr 2,May,20,1105.259
2017,Qtr 2,May,21,2517.836
2017,Qtr 2,May,22,222.384
2017,Qtr 2,May,23,37.05
2017,Qtr 2,May,26,1119.148
2017,Qtr 2,May,27,13.38
2017,Qtr 2,May,28,1157.68
2017,Qtr 2,May,30,1081.028
2017,Qtr 2,June,2,93.06
2017,Qtr 2,June,5,141.172
2017,Qtr 2,June,6,3650.438
2017,Qtr 2,June,7,9.514
2017,Qtr 2,June,9,299.832
2017,Qtr 2,June,10,1388.78
2017,Qtr 2,June,11,1361.286
2017,Qtr 2,June,12,213.46
2017,Qtr 2,June,14,3061.523
2017,Qtr 2,June,16,46.35
2017,Qtr 2,June,17,1343.454
2017,Qtr 2,June,19,17.12
2017,Qtr 2,June,20,453.8
2017,Qtr 2,June,23,997.934
2017,Qtr 2,June,24,4861.33
2017,Qtr 2,June,25,60.81
2017,Qtr 2,June,26,284.24
2017,Qtr 2,June,27,201.584
2017,Qtr 2,June,28,41.32
2017,Qtr 3,July,1,1502.446
2017,Qtr 3,July,2,195.184
2017,Qtr 3,July,3,16.92
2017,Qtr 3,July,4,1651.301
2017,Qtr 3,July,7,3411.458
2017,Qtr 3,July,8,852.352
2017,Qtr 3,July,10,61.624
2017,Qtr 3,July,12,95.76
2017,Qtr 3,July,14,673.66
2017,Qtr 3,July,15,380.2
2017,Qtr 3,July,17,734.28
2017,Qtr 3,July,18,2421.632
2017,Qtr 3,July,19,425.954
2017,Qtr 3,July,21,423.05
2017,Qtr 3,July,22,92.5
2017,Qtr 3,July,25,744.894
2017,Qtr 3,July,28,18.9
2017,Qtr 3,July,30,715.64
2017,Qtr 3,July,31,863.128
2017,Qtr 3,August,1,1085.688
2017,Qtr 3,August,2,482.584
2017,Qtr 3,August,4,335.12
2017,Qtr 3,August,6,211.168
2017,Qtr 3,August,7,179.97
2017,Qtr 3,August,8,1016.184
2017,Qtr 3,August,14,121.092
2017,Qtr 3,August,15,749.426
2017,Qtr 3,August,16,204.54
2017,Qtr 3,August,17,15.712
2017,Qtr 3,August,21,3372.562
2017,Qtr 3,August,22,149.88
2017,Qtr 3,August,23,1599.864
2017,Qtr 3,August,26,1783.006
2017,Qtr 3,August,28,124.056
2017,Qtr 3,August,30,387
2017,Qtr 3,September,1,34.66
2017,Qtr 3,September,2,3132.674
2017,Qtr 3,September,5,228.12
2017,Qtr 3,September,8,631.06
2017,Qtr 3,September,9,55.36
2017,Qtr 3,September,10,420.024
2017,Qtr 3,September,11,3761.008
2017,Qtr 3,September,12,775.732
2017,Qtr 3,September,15,1254.27
2017,Qtr 3,September,16,304.106
2017,Qtr 3,September,17,331.956
2017,Qtr 3,September,18,2295.99
2017,Qtr 3,September,19,187
2017,Qtr 3,September,20,639.574
2017,Qtr 3,September,22,68.432
2017,Qtr 3,September,23,234.628
2017,Qtr 3,September,24,1547.496
2017,Qtr 3,September,25,952.461
2017,Qtr 3,September,26,929.2775
2017,Qtr 3,September,27,1001.584
2017,Qtr 3,September,29,915.906
2017,Qtr 4,October,1,194.848
2017,Qtr 4,October,2,54.792
2017,Qtr 4,October,3,1027.676
2017,Qtr 4,October,6,801.55
2017,Qtr 4,October,7,968.784
2017,Qtr 4,October,8,61.96
2017,Qtr 4,October,9,170.976
2017,Qtr 4,October,10,227.658
2017,Qtr 4,October,13,1008.606
2017,Qtr 4,October,14,177
2017,Qtr 4,October,15,219.12
2017,Qtr 4,October,17,138.826
2017,Qtr 4,October,18,307.92
2017,Qtr 4,October,20,406.432
2017,Qtr 4,October,21,5477.842
2017,Qtr 4,October,22,116.96
2017,Qtr 4,October,23,17.05
2017,Qtr 4,October,24,1109.97
2017,Qtr 4,October,27,136.088
2017,Qtr 4,October,28,495.932
2017,Qtr 4,October,29,11.744
2017,Qtr 4,October,30,3.62
2017,Qtr 4,October,31,2489.34
2017,Qtr 4,November,3,2244.423
2017,Qtr 4,November,4,2643.17
2017,Qtr 4,November,5,906.106
2017,Qtr 4,November,6,404.824
2017,Qtr 4,November,7,2286.486
2017,Qtr 4,November,9,479.97
2017,Qtr 4,November,10,1778.298
2017,Qtr 4,November,11,531.576
2017,Qtr 4,November,12,920.95
2017,Qtr 4,November,13,67.74
2017,Qtr 4,November,14,17.22
2017,Qtr 4,November,15,1515.694
2017,Qtr 4,November,16,36.72
2017,Qtr 4,November,17,60.276
2017,Qtr 4,November,18,785.152
2017,Qtr 4,November,19,31.96
2017,Qtr 4,November,20,66.88
2017,Qtr 4,November,21,227.536
2017,Qtr 4,November,24,4300.386
2017,Qtr 4,November,25,194.352
2017,Qtr 4,November,26,4111.486
2017,Qtr 4,November,27,311.8
2017,Qtr 4,December,1,1255.5
2017,Qtr 4,December,2,468.958
2017,Qtr 4,December,3,3079.54
2017,Qtr 4,December,4,104.85
2017,Qtr 4,December,5,407.976
2017,Qtr 4,December,6,1188.894
2017,Qtr 4,December,8,1862.014
2017,Qtr 4,December,9,273.92
2017,Qtr 4,December,10,824.51
2017,Qtr 4,December,11,3638.972
2017,Qtr 4,December,12,440.16
2017,Qtr 4,December,13,1130.208
2017,Qtr 4,December,14,216.224
2017,Qtr 4,December,15,666.123
2017,Qtr 4,December,16,585.13
2017,Qtr 4,December,17,2074.954
2017,Qtr 4,December,18,2364.444
2017,Qtr 4,December,19,471.624
2017,Qtr 4,December,22,1017.544
2017,Qtr 4,December,23,1506.02
2017,Qtr 4,December,24,117.12
2017,Qtr 4,December,25,5820.449
2017,Qtr 4,December,26,1495.026
2017,Qtr 4,December,27,20.16
2017,Qtr 4,December,29,81.014
2017,Qtr 4,December,30,487.704
2017,Qtr 4,December,31,504.16
2018,Qtr 1,January,1,474.43
2018,Qtr 1,January,2,16.59
2018,Qtr 1,January,3,2070.272
2018,Qtr 1,January,7,332.8
2018,Qtr 1,January,8,892.98
2018,Qtr 1,January,12,9.78
2018,Qtr 1,January,14,492.588
2018,Qtr 1,January,15,21.4
2018,Qtr 1,January,16,427.592
2018,Qtr 1,January,20,544.952
2018,Qtr 1,January,21,654.242
2018,Qtr 1,January,22,4189.38
2018,Qtr 1,January,23,239.354
2018,Qtr 1,January,24,412.996
2018,Qtr 1,January,26,11.84
2018,Qtr 1,January,28,277.71
2018,Qtr 1,January,29,136.526
2018,Qtr 1,January,30,876.412
2018,Qtr 1,February,2,753.624
2018,Qtr 1,February,5,2011.9
2018,Qtr 1,February,6,29.9
2018,Qtr 1,February,9,376.02
2018,Qtr 1,February,10,203.983
2018,Qtr 1,February,11,1073.248
2018,Qtr 1,February,13,914.12
2018,Qtr 1,February,18,287.326
2018,Qtr 1,February,19,68.73
2018,Qtr 1,February,20,1130.62
2018,Qtr 1,February,23,117.8
2018,Qtr 1,February,26,2467.51
2018,Qtr 1,March,2,784.364
2018,Qtr 1,March,3,1619.464
2018,Qtr 1,March,4,24.57
2018,Qtr 1,March,6,611.47
2018,Qtr 1,March,8,174.56
2018,Qtr 1,March,9,710.804
2018,Qtr 1,March,10,111.96
2018,Qtr 1,March,12,242.94
2018,Qtr 1,March,13,2427.132
2018,Qtr 1,March,16,1253.9
2018,Qtr 1,March,17,17.456
2018,Qtr 1,March,18,170.36
2018,Qtr 1,March,19,2128.398
2018,Qtr 1,March,20,265.93
2018,Qtr 1,March,21,1170.336
2018,Qtr 1,March,23,14299.08
2018,Qtr 1,March,25,1092.232
2018,Qtr 1,March,26,19.83
2018,Qtr 1,March,27,168.58
2018,Qtr 1,March,28,1435.96
2018,Qtr 1,March,30,265.072
2018,Qtr 1,March,31,29.7
2018,Qtr 2,April,1,5410.108
2018,Qtr 2,April,2,25.11
2018,Qtr 2,April,8,440.31
2018,Qtr 2,April,11,241.81
2018,Qtr 2,April,13,1337.904
2018,Qtr 2,April,15,275.59
2018,Qtr 2,April,16,349.493
2018,Qtr 2,April,17,3176.011
2018,Qtr 2,April,21,174.14
2018,Qtr 2,April,22,18.28
2018,Qtr 2,April,23,213.732
2018,Qtr 2,April,24,553.81
2018,Qtr 2,April,25,568.145
2018,Qtr 2,April,26,59.62
2018,Qtr 2,April,27,323.19
2018,Qtr 2,April,30,292.5
2018,Qtr 2,May,2,269.18
2018,Qtr 2,May,3,881.84
2018,Qtr 2,May,4,502.474
2018,Qtr 2,May,5,143.943
2018,Qtr 2,May,6,237.356
2018,Qtr 2,May,7,499.934
2018,Qtr 2,May,8,3441.032
2018,Qtr 2,May,9,805.99
2018,Qtr 2,May,11,311.041
2018,Qtr 2,May,12,551.038
2018,Qtr 2,May,13,58.48
2018,Qtr 2,May,14,1922.8
2018,Qtr 2,May,15,353.44
2018,Qtr 2,May,18,344.704
2018,Qtr 2,May,19,957.108
2018,Qtr 2,May,20,2064.768
2018,Qtr 2,May,22,130.64
2018,Qtr 2,May,23,171.288
2018,Qtr 2,May,26,12.96
2018,Qtr 2,May,27,944.126
2018,Qtr 2,May,28,483.48
2018,Qtr 2,May,30,278.364
2018,Qtr 2,June,2,69.264
2018,Qtr 2,June,3,1296.382
2018,Qtr 2,June,6,31.35
2018,Qtr 2,June,8,1712.486
2018,Qtr 2,June,10,970.741
2018,Qtr 2,June,11,1572.562
2018,Qtr 2,June,12,91.416
2018,Qtr 2,June,13,291.136
2018,Qtr 2,June,15,172.196
2018,Qtr 2,June,16,1459.78
2018,Qtr 2,June,17,366.944
2018,Qtr 2,June,18,956.8035
2018,Qtr 2,June,24,520.22
2018,Qtr 2,June,25,959.088
2018,Qtr 2,June,26,515.688
2018,Qtr 2,June,27,1433.19
2018,Qtr 2,June,29,2708.952
2018,Qtr 2,June,30,716.741
2018,Qtr 3,July,3,4914.132
2018,Qtr 3,July,6,122.136
2018,Qtr 3,July,7,5.94
2018,Qtr 3,July,8,1465.524
2018,Qtr 3,July,9,1.08
2018,Qtr 3,July,11,1565.972
2018,Qtr 3,July,14,988.204
2018,Qtr 3,July,17,1775.009
2018,Qtr 3,July,18,1298.896
2018,Qtr 3,July,21,2019.618
2018,Qtr 3,July,23,73.512
2018,Qtr 3,July,24,2399.96
2018,Qtr 3,July,26,2012.302
2018,Qtr 3,July,27,297.99
2018,Qtr 3,July,28,1170.564
2018,Qtr 3,July,29,206.53
2018,Qtr 3,July,30,356.65
2018,Qtr 3,July,31,93.52
2018,Qtr 3,August,1,241.436
2018,Qtr 3,August,3,291.64
2018,Qtr 3,August,4,16.752
2018,Qtr 3,August,7,2981.584
2018,Qtr 3,August,12,1655.028
2018,Qtr 3,August,13,242.694
2018,Qtr 3,August,14,440.736
2018,Qtr 3,August,17,3397.732
2018,Qtr 3,August,18,6522.648
2018,Qtr 3,August,19,102.72
2018,Qtr 3,August,20,616.7
2018,Qtr 3,August,21,2598.494
2018,Qtr 3,August,22,210.008
2018,Qtr 3,August,27,3092.368
2018,Qtr 3,August,28,1278.158
2018,Qtr 3,August,29,148.02
2018,Qtr 3,August,31,1634.656
2018,Qtr 3,September,1,648.65
2018,Qtr 3,September,2,774.474
2018,Qtr 3,September,3,613.156
2018,Qtr 3,September,4,4156.8
2018,Qtr 3,September,5,2.78
2018,Qtr 3,September,7,1269.121
2018,Qtr 3,September,9,606.478
2018,Qtr 3,September,10,369.536
2018,Qtr 3,September,11,4511.972
2018,Qtr 3,September,12,174.8
2018,Qtr 3,September,14,56.7
2018,Qtr 3,September,15,4479.364
2018,Qtr 3,September,16,32.7
2018,Qtr 3,September,17,1885.034
2018,Qtr 3,September,18,274.8
2018,Qtr 3,September,19,1479.93
2018,Qtr 3,September,21,223.33
2018,Qtr 3,September,22,49.14
2018,Qtr 3,September,23,1496.132
2018,Qtr 3,September,24,1603.66
2018,Qtr 3,September,25,39.9
2018,Qtr 3,September,26,1067.44
2018,Qtr 3,September,28,544.504
2018,Qtr 3,September,29,403.246
2018,Qtr 3,September,30,343.57
2018,Qtr 4,October,1,1162.054
2018,Qtr 4,October,2,2542.222
2018,Qtr 4,October,3,171.288
2018,Qtr 4,October,5,938.752
2018,Qtr 4,October,6,307.74
2018,Qtr 4,October,7,1632.24
2018,Qtr 4,October,8,419.832
2018,Qtr 4,October,9,35.2
2018,Qtr 4,October,12,1219.422
2018,Qtr 4,October,13,5325.884
2018,Qtr 4,October,14,55.82
2018,Qtr 4,October,15,1004.89
2018,Qtr 4,October,16,907.761
2018,Qtr 4,October,17,63.432
2018,Qtr 4,October,19,135.012
2018,Qtr 4,October,20,24.678
2018,Qtr 4,October,21,520.623
2018,Qtr 4,October,22,759.529
2018,Qtr 4,October,27,958.825
2018,Qtr 4,October,30,3017.888
2018,Qtr 4,November,1,2690.74
2018,Qtr 4,November,2,1370.272
2018,Qtr 4,November,3,2945.416
2018,Qtr 4,November,5,419.33
2018,Qtr 4,November,6,2820.81
2018,Qtr 4,November,7,1283.106
2018,Qtr 4,November,9,950.038
2018,Qtr 4,November,10,2292.012
2018,Qtr 4,November,11,186.85
2018,Qtr 4,November,12,1212.028
2018,Qtr 4,November,13,3426.228
2018,Qtr 4,November,14,355.808
2018,Qtr 4,November,16,3307.916
2018,Qtr 4,November,17,37.67
2018,Qtr 4,November,18,409.548
2018,Qtr 4,November,19,355.678
2018,Qtr 4,November,20,410.576
2018,Qtr 4,November,21,2105.844
2018,Qtr 4,November,24,907.304
2018,Qtr 4,November,25,449.179
2018,Qtr 4,November,27,604.606
2018,Qtr 4,November,28,151.418
2018,Qtr 4,November,30,25.83
2018,Qtr 4,December,1,2517.051
2018,Qtr 4,December,2,4219.422
2018,Qtr 4,December,3,994.76
2018,Qtr 4,December,4,11.76
2018,Qtr 4,December,5,629.776
2018,Qtr 4,December,6,10.68
2018,Qtr 4,December,7,424.416
2018,Qtr 4,December,8,4487.381
2018,Qtr 4,December,9,2121.918
2018,Qtr 4,December,10,2256.124
2018,Qtr 4,December,13,292.96
2018,Qtr 4,December,14,134.91
2018,Qtr 4,December,15,296.696
2018,Qtr 4,December,16,814.526
2018,Qtr 4,December,17,535.578
2018,Qtr 4,December,18,344.235
2018,Qtr 4,December,19,230.306
2018,Qtr 4,December,21,1136.89
2018,Qtr 4,December,22,784.48
2018,Qtr 4,December,23,13.48
2018,Qtr 4,December,24,4846.284
2018,Qtr 4,December,25,428.028
2018,Qtr 4,December,28,1197.662
2018,Qtr 4,December,29,885.124
2018,Qtr 4,December,30,37.648
